ATF	1.0
8	11     
"AcquisitionMode=Episodic Stimulation"
"Comment="
"YTop=1000"
"YBottom=-1000"
"SyncTimeUnits=12.5"
"SweepStartTimesMS=0.000,3000.000,6000.000,9000.000,12000.000,15000.000,18000.000,21000.000,24000.000,27000.000"
"SignalsExported=V1prim"
"Signals="	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"	"V1prim"
"Time (s)"	"Trace #1 (mV)"	"Trace #2 (mV)"	"Trace #3 (mV)"	"Trace #4 (mV)"	"Trace #5 (mV)"	"Trace #6 (mV)"	"Trace #7 (mV)"	"Trace #8 (mV)"	"Trace #9 (mV)"	"Trace #10 (mV)"
0.00215	-29.5715	-29.2664	-30.0293	-29.6326	-29.8767	-29.2053	-29.0833	-28.4424	-29.0222	-29.2053
0.0022	-29.5715	-29.2053	-29.9683	-29.6936	-29.8767	-29.2053	-29.0527	-28.3813	-29.0527	-29.2053
0.00225	-29.602	-29.2664	-29.9683	-29.6936	-29.9072	-29.2358	-29.0222	-28.3813	-29.0222	-29.2358
0.0023	-29.5715	-29.2053	-29.9683	-29.6936	-29.9072	-29.2969	-29.0833	-28.4424	-29.0527	-29.1748
0.00235	-29.602	-29.2053	-29.9377	-29.6631	-29.9072	-29.2358	-29.0833	-28.3813	-29.0527	-29.1748
0.0024	-29.602	-29.1748	-29.9683	-29.6631	-29.8462	-29.2053	-29.0527	-28.4119	-29.0833	-29.2053
0.00245	-29.5715	-29.2664	-29.9683	-29.6936	-29.8767	-29.2358	-29.0833	-28.3813	-29.0527	-29.1748
0.0025	-29.602	-29.2358	-29.9988	-29.6326	-29.8462	-29.2053	-29.0527	-28.4119	-29.0833	-29.1748
0.00255	-29.5715	-29.2053	-29.9683	-29.6326	-29.8462	-29.1748	-29.0527	-28.3813	-29.0222	-29.1748
0.0026	-29.5715	-29.2053	-29.9683	-29.6326	-29.8767	-29.1748	-29.0833	-28.3508	-29.0527	-29.2053
0.00265	-29.5715	-29.2053	-30.0293	-29.6631	-29.8462	-29.2053	-29.0833	-28.4119	-29.0527	-29.2358
0.0027	-29.602	-29.1748	-29.9683	-29.602	-29.8462	-29.2053	-29.0222	-28.3813	-29.0222	-29.2053
