case,true_g_egl19_nS,true_g_shk1_nS,true_g_leak_nS,true_capacitance_pF,true_g_slo2_nS,true_v_shift_mV,recovered_g_egl19_nS,recovered_g_shk1_nS,recovered_g_leak_nS,recovered_capacitance_pF,recovered_g_slo2_nS,recovered_v_shift_mV,best_distance
0,15.95711530778399,44.98962847507318,0.2516251992537695,15.852018709390496,2.0775558579951956,9.292638412650971,16.901963616372097,44.880279662061625,0.2907354160467259,18.48010025944357,1.6428306627681346,8.992065914034576,0.03915148429755544
1,23.481354535265286,31.36328486259822,0.03598157528591124,24.194432973911,1.7163259146252465,7.594728091894755,23.431535702490514,32.19130706910424,0.04177168227296926,23.831999552086607,1.8221484965820296,7.657543612061785,0.07031498469325917
2,10.055454687420534,20.262158093309715,0.49532433105645907,21.880126084078007,2.350474317626174,11.670295542190178,10.0,20.81130692433783,0.39545343625289275,20.8587273927,1.8354202941336837,12.030776867292325,0.08493070034477203
