g_egl19_nS,g_shk1_nS,g_leak_nS,capacitance_pF,g_slo2_nS,v_shift_mV,distance,weight
12.873775615557587,44.69488065944146,0.4087821517183255,15.928524273207945,3.775522503763185,11.49747114304262,0.4422274899345671,0.00965720889548307
12.41173403898259,40.95191646335326,0.5,16.462525043150357,3.707514414012644,11.562658213160624,0.44748465225776984,0.009596533791246697
11.244361779040853,41.20944374720219,0.4967673478216431,13.291953476767063,3.977945036405836,10.364666954966246,0.44991810544919253,0.009568336209662975
12.91497369728543,42.56667091858594,0.5,19.017469566624797,3.824893049375726,10.511265831701905,0.4512439439020716,0.009552943812055287
13.774811962711647,44.072169312364096,0.5,21.241089879509815,3.773161993054322,9.476409867219777,0.4627044060514088,0.009419060731737858
12.494976536426725,45.0,0.3961383091853847,16.144333750271958,3.585633758504261,9.7391698915142,0.48402650787915324,0.00916630741428558
14.268797885804101,45.0,0.5,19.73594587371914,4.0,11.77496729770673,0.4901041739506035,0.009093471902003615
13.107900469872007,45.0,0.5,16.221832530417664,3.1523192057072587,12.106517384516524,0.4922026489259633,0.00906824850575823
13.791187384129536,45.0,0.5,22.009124518748454,3.0752894906631165,9.825617945466295,0.5058903778806174,0.008902839019090171
12.920405808436975,42.17514879357668,0.5,19.033919858091416,3.6319297357040115,11.517355532853543,0.5106348843098909,0.008845168588489785
11.953649091709867,45.0,0.3290917510903932,14.99251051188254,3.724345859735114,10.996144177203433,0.5147440765820631,0.00879509132609255
11.376198186727798,41.7293758839475,0.5,10.588603003355242,4.0,11.332748840289158,0.5168043655912997,0.008769939917988858
11.135928105282819,37.87415173505168,0.4448349544196194,12.17339906047387,3.966442115897032,10.910790455079894,0.5170343106813242,0.00876713105941639
12.479814296989687,45.0,0.27985260138668405,16.136247354171353,4.0,11.291449115323996,0.5170659413236025,0.008766744652866683
14.209103964800498,45.0,0.41273031873339394,20.853379084187246,4.0,11.517831805300307,0.518992860853107,0.008743192630085961
11.605393371461298,45.0,0.23235099026441167,13.454524987310123,4.0,10.963409028816663,0.5230618675344288,0.00869338053739269
16.40562686512098,43.03963159435546,0.4020131556045015,24.757692591422092,4.0,11.361387292302823,0.5336474167283431,0.008563329268869732
12.244871715667035,42.19652998462632,0.3846068335777591,18.38015072880761,3.185273424368734,10.512975449373691,0.5376542576744295,0.008513940634308959
16.73135926414823,42.43308989302754,0.26287952015151733,25.05418027959269,4.0,9.59914444577841,0.5388169389503272,0.008499593887399076
18.573307038590393,40.558138684166295,0.37207501749736693,27.048706259069615,4.0,9.723307798413014,0.539303706157989,0.008493585482381546
11.761977966459312,38.99057049347537,0.43917095642359,18.76960088530899,3.8800156159171615,10.119287215118522,0.5436599192156127,0.008439763427128247
11.311380707199366,43.895613489824804,0.37497329447813793,13.811023635117655,3.5184643098339077,11.244958848288922,0.5439805343526201,0.008435798606779675
11.594930714827013,39.02320798819633,0.4078284746094122,17.576284916373936,3.9751176117676996,9.515618504667676,0.5445365277495487,0.00842892190960443
15.959303039884194,45.0,0.2299627826788593,24.079500527615004,3.281504549281569,10.354867796093336,0.555123549183201,0.008297723642441704
17.34593599035372,44.45574074035253,0.2249009919789265,23.734801621754883,3.6568242401873348,9.958217528545553,0.5556628901121693,0.008291027826207146
12.719351900939571,45.0,0.5,19.422580817401744,3.88193777589539,10.060233617237515,0.5613305091865249,0.008220601593043945
12.078083837321893,45.0,0.2590115543618963,16.143221948177906,3.663845965403276,11.001899080397877,0.5630236638017477,0.008199540915457462
14.88647509355165,42.87041182507094,0.17432821651001137,19.821564593836285,3.772298760192084,11.162598803048478,0.564084877882644,0.0081863360420745
14.583461741882264,42.527188392680756,0.17541330592420862,20.53356016189745,3.6785326065575075,11.045216357376404,0.5678608881285311,0.008139322368331998
16.316442098639403,41.88823308030715,0.24877492203944895,23.4820380357934,3.59523433099657,10.790156257588848,0.5683239662545465,0.008133553860762519
16.593693586244953,42.704047537539765,0.20429142980432297,24.264140008610813,3.5555563003898087,9.969821772939081,0.5729769210895118,0.008075559961260062
14.741880702306654,36.902221253728825,0.22929852784766916,22.340045243133225,4.0,10.707418465672065,0.5745646016650516,0.008055758506925782
12.276032342228913,44.68959492225638,0.5,18.011007462304793,2.855865078108464,10.75572210343474,0.5748273514663566,0.008052480917727357
16.641743761384365,41.50007097641372,0.2689016499730498,25.969631117144477,3.6952597490008148,10.669314222920686,0.5749390787165234,0.008051087161734001
20.31136322090708,37.655945903975734,0.5,30.0,4.0,9.732040498354698,0.5755057158905563,0.008044018120073234
15.468761231115796,40.240068324610874,0.26012541195653927,24.338258607075833,3.8901383896726647,10.974639709532706,0.5790091197015745,0.008000295549652323
11.374099817576074,45.0,0.4709140180202439,14.052478770439489,2.253510832221205,11.079444862079635,0.579055113351997,0.007999721371225128
18.674351870002745,45.0,0.28267587655980114,28.436718754405295,3.541950071326585,9.036064975747392,0.579859270255218,0.00798968168264791
19.239740721188607,39.83614248210226,0.3448195197391563,29.138201933805192,3.6178608178220992,9.460186310458962,0.5814430725972394,0.007969904538040558
13.424413149171993,45.0,0.2678821668590027,19.93165390554305,3.6446135422190338,11.391721194581383,0.5832806101106145,0.007946952986525745
11.628948193407616,41.572810752629344,0.2627504379638203,16.388869875016375,3.706441317593462,11.494363461501889,0.5867293999635683,0.007903860387022493
17.635399929625635,42.28468816413514,0.2903531894920671,24.30725356818937,3.492529206840263,10.81926393663652,0.5871486345913366,0.007898620748952163
16.730602023392482,37.5187916528219,0.39761645853689415,26.481195645303433,3.813884613565143,11.172809399967274,0.5881740380129504,0.00788580404236968
14.058701338137466,41.858411034812605,0.0608511986519353,17.506683876116554,4.0,10.509896677259022,0.5899725789571457,0.007863320140406464
14.032832686876636,40.69456448639876,0.09827340709053767,18.70063980314711,3.556564730042587,10.880144263722837,0.5901805494524124,0.007860719980075079
10.0,36.48175924221555,0.3754863773526027,10.0,4.0,11.558076909740626,0.5905257396719669,0.007856404100377426
13.054586777119138,45.0,0.48101882160389475,19.994894111763983,2.4454533091810657,11.570405314303368,0.5908316027775395,0.007852579796748351
19.908419818047918,39.865808960610366,0.37283138565796836,28.402430487989005,3.8554021041193747,9.252779352581914,0.5918682536927378,0.00783961736037321
16.894428351288866,43.39448553314463,0.18184064267282352,24.460203540993525,4.0,9.316351675621368,0.5935254446938715,0.007818892993503974
18.703940460690717,40.83993206918622,0.30778349868302535,27.238948071381625,3.7827349668138077,10.24072357438738,0.5950859788021698,0.007799374706372505
15.686103045888395,41.04533196377122,0.1314053932604202,21.62015446975942,3.5067644366358737,10.08233466094903,0.5960463592685785,0.007787361627249273
14.681551843431569,37.907042136497765,0.2747325036261583,25.15675809824017,3.7569473264979183,10.919034973543216,0.5966586925643359,0.007779701720328893
11.829787006303437,42.08791469026153,0.4191133996819015,18.21899920698155,2.9894264996152846,10.664183455040988,0.5970091654084794,0.00777531737946984
17.48043766020316,39.60381210221331,0.22633891648909432,24.414870213554636,3.879073882786932,9.511857920511062,0.6006534314407127,0.007729722916146459
17.477263500516884,33.93378662022907,0.3675123395689307,29.40792156162076,4.0,10.115199181696099,0.6006674196999119,0.007729547888121546
16.115513960176855,41.36561762600411,0.13596480387879326,21.64007287243438,3.8963056854053915,10.262679105051404,0.6030550341535206,0.007699671377725666
10.787574928180737,42.04995756229197,0.2995415938143048,13.518571966342527,3.515697549002205,11.838911270234572,0.6038116993891761,0.007690202598138334
10.543392629065945,45.0,0.08949158442150959,10.504569722321005,3.9759059873572054,12.018073883209974,0.6042549134992621,0.007684656194425144
11.99925206641943,43.269566154160636,0.36261815404682746,18.196449255163294,2.820355695932885,10.833375855805766,0.6046569197912841,0.007679625410979225
10.0,35.77118273248395,0.3791607083952221,10.0,4.0,11.876243009626329,0.6061305308487043,0.0076611839744521746
17.3229646722971,35.9815100675245,0.3743030134573874,26.951737754233157,3.9265687348897496,10.769228552079097,0.6069374522792627,0.0076510855924703984
15.067209199122813,37.19552459297754,0.2083430350561996,20.36547791262521,3.9584642953726203,11.228741538342792,0.6069555259870022,0.007650859404141495
12.22691882013774,45.0,0.48156605590018914,17.867023318242847,3.628241688105113,11.348030370366086,0.6070057953298867,0.007650230294530952
14.394935139181207,43.33028594106847,0.20012549915289995,23.728220332347313,3.787589994305127,10.065901390239091,0.6077527192880514,0.007640882669445
10.925075084986425,45.0,0.23129067122139987,12.60802459328762,3.948814282242803,10.433249374554752,0.610541124085347,0.007605986024596795
16.000418524182415,36.514069082310385,0.23878278803443834,24.00878814742427,4.0,10.573224183240129,0.6113535547915246,0.00759581859706434
