start,selected,loss_mV2,success,iterations,function_evaluations,message,g_na,g_kr,g_shk1,g_egl19,g_slo2,g_leak
0,True,82.01480865478516,True,427,730,Optimization terminated successfully.,31.252891540527344,10.149681091308594,109.24739074707031,28.660329818725586,29.256282806396484,6.773079872131348
1,False,87.7957763671875,False,711,1200,Maximum number of function evaluations has been exceeded.,32.52999496459961,10.273584365844727,72.28021240234375,16.999711990356445,11.783413887023926,3.7359354496002197
2,False,91.5197982788086,True,491,792,Optimization terminated successfully.,33.186683654785156,10.158790588378906,50.779930114746094,11.165483474731445,9.333008766174316,2.6133499145507812
