trace,split,current_pA,rmse_mV,mae_mV,correlation,observed_spike_count,predicted_spike_count,observed_first_spike_ms,predicted_first_spike_ms,observed_peak_mV,predicted_peak_mV,baseline_rmse_mV,stimulus_rmse_mV,recovery_rmse_mV
8,train,25.0,9.0562071102665,6.293211440212748,0.6664517371875465,4,2,80.35000000000001,135.15,24.4751,-5.994343280792236,8.029190046790095,12.002161534832279,5.991217796076389
6,test,15.0,10.258742590732533,6.855392842004617,0.34998529781594273,3,1,95.10000000000001,192.0,24.5361,-5.081335067749023,9.509085370879623,14.796120632656521,4.154384376388961
7,test,20.0,10.221055170669835,6.842473745071233,0.27261614713581594,3,1,87.10000000000001,153.35,24.8718,-6.043972015380859,9.098370355688557,14.657185968865186,4.529612406948294
9,test,30.0,10.894069704405503,7.151821996981505,0.4330368712707556,4,1,78.35000000000001,169.45000000000002,24.6582,-4.469883441925049,9.16668154602906,15.943743625495364,4.146508253845688
