panel,condition,g,eta,runtime_seconds,verdict,failures,exc_firing_rate_hz,inh_firing_rate_hz,overall_firing_rate_hz,exc_isi_cv_mean,exc_isi_cv_median,exc_isi_cv_eligible_neurons,inh_isi_cv_mean,inh_isi_cv_median,inh_isi_cv_eligible_neurons,isi_cv_all_mean,population_rate_cv_1ms,dominant_frequency_hz,spectral_peak_to_background
A,synchronous_regular,3.0,2.0,42.02103070699377,reproduced,,112.725,112.93,112.766,0.09298951923847198,0.09293156862258911,800,0.09237460792064667,0.09240126609802246,200,0.09286653250455856,0.26323767089142214,112.3046875,755.1074312367904
B,fast_synchronous_irregular,6.0,4.0,31.031125464010984,not_reproduced,mean ISI CV is below 0.7; firing rate differs from 60.7 Hz by more than 20%,171.875,172.16,171.932,0.09984397888183594,0.09998223185539246,800,0.10022149980068207,0.10053795576095581,200,0.09991948306560516,0.5899770109223873,180.6640625,4788.929384696295
C,asynchronous_irregular,5.0,2.0,29.271768506994704,not_reproduced,mean ISI CV is below 0.7; firing rate differs from 37.7 Hz by more than 20%; 1 ms population-rate CV is not below 0.2,87.8325,87.895,87.845,0.1218326985836029,0.12158162891864777,800,0.12140464782714844,0.12191373109817505,200,0.12174708396196365,0.2566926739682168,87.890625,120.15649274237225
D,slow_synchronous_irregular,4.5,0.9,30.51855066099961,not_reproduced,mean ISI CV is below 0.7; firing rate differs from 5.5 Hz by more than 30%; global frequency differs from 22 Hz by more than 30%,3.77875,3.775,3.778,0.481501042842865,0.4580018222332001,447,0.49036142230033875,0.479608952999115,113,0.4832889139652252,0.5720444507123608,14.6484375,18.015190108711966
