g_kna_mS_cm2,current_uA_cm2,rate_hz,late_voltage_mV,late_voltage_sd_mV,h_available,sodium_mM,block,calcium_voltage_proxy,late_spikes
0,0,0.0,-64.99906158447266,0.0024718560744076967,0.5959731936454773,5.125622272491455,0.0,0.004503502044826746,0.0
0,5,2.0,-61.7333869934082,0.0024033118970692158,0.47928014397621155,5.320986747741699,0.0,0.01123875007033348,0.0
0,10,70.0,-56.62591552734375,23.00933837890625,0.33932971954345703,13.434429168701172,0.0,0.1269528865814209,7.0
0,15,80.0,-54.018028259277344,24.434112548828125,0.29949259757995605,14.267106056213379,0.0,0.14624999463558197,8.0
0,20,88.0,-52.90885543823242,24.364953994750977,0.2740617096424103,14.722277641296387,0.0,0.15803436934947968,9.0
0,30,100.0,-51.225120544433594,23.42912483215332,0.22990840673446655,15.169149398803711,0.0,0.17841053009033203,10.0
0,40,110.0,-50.16534423828125,22.242902755737305,0.19994059205055237,15.27388858795166,0.0,0.19390147924423218,11.0
0,60,126.0,-48.19206237792969,19.014570236206055,0.1561288684606552,14.97617244720459,0.0,0.21805639564990997,13.0
0,80,138.0,-46.33757019042969,15.962240219116211,0.12344136089086533,14.31429672241211,0.0,0.2371317446231842,14.0
0,90,142.0,-46.043277740478516,14.113824844360352,0.11186036467552185,13.901638984680176,0.0,0.23785053193569183,14.0
0,100,12.0,-45.24633026123047,12.4890775680542,0.10090885311365128,13.454320907592773,0.0,0.23479026556015015,0.0
0,110,6.0,-45.05912780761719,10.716686248779297,0.09316206723451614,12.979167938232422,0.0,0.22149623930454254,0.0
0,120,4.0,-44.722381591796875,8.928543090820312,0.08643294125795364,12.488821029663086,0.0,0.20302583277225494,0.0
0,130,4.0,-44.02944564819336,7.22181510925293,0.08081955462694168,12.003290176391602,0.0,0.18363560736179352,0.0
0,140,4.0,-43.70956039428711,5.309533596038818,0.07650770246982574,11.548505783081055,0.0,0.16588735580444336,0.0
0,150,2.0,-43.22368621826172,2.8905413150787354,0.07197947800159454,11.140131950378418,1.0,0.15090113878250122,0.0
0,160,2.0,-42.76473617553711,0.0016316839028149843,0.06809956580400467,11.084369659423828,1.0,0.15002712607383728,0.0
