g_kna_mS_cm2,current_uA_cm2,rate_hz,late_voltage_mV,late_voltage_sd_mV,h_available,sodium_mM,block,calcium_voltage_proxy,late_spikes
0,20,106.0,-46.68330383300781,28.352956771850586,0.1934977024793625,14.59697151184082,0.0,0.22174477577209473,11.0
0,120,4.0,-36.54513931274414,0.0010682251304388046,0.035278648138046265,12.781731605529785,1.0,0.33159372210502625,0.0
10,20,66.0,-54.57636260986328,26.510393142700195,0.3476864993572235,12.759136199951172,0.0,0.13051797449588776,7.0
10,120,158.0,-42.58952713012695,12.115602493286133,0.07753169536590576,13.315347671508789,0.0,0.2806660532951355,16.0
