label,family,baseline_E,baseline_I,baseline_ptp,min_activity,max_activity,E_mean_0,I_mean_0,E_ptp_0,crossings_0,I_output_mean_0,E_mean_1,I_mean_1,E_ptp_1,crossings_1,I_output_mean_1,persistent_oscillation,valid_baseline
somatic_grid_13.5_0.5/S2/baseline,somatic_grid_13.5_0.5,0.05999537422106466,0.05769161834932871,3.0433433672455434e-07,0.05001773978294354,0.06869205932578619,0.05999536094565406,0.05769161672167677,0.0,0,0.05769161672167677,0.05999536094565406,0.05769161672167677,0.0,0,0.05769161672167677,False,True
somatic_grid_13.5_0.5/S2/Syn,somatic_grid_13.5_0.5,0.05999537422106466,0.05769161834932871,3.0433433672455434e-07,0.04469242372606607,0.08895649542727119,0.08435777422479515,0.04700732641683684,1.984390678166914e-07,6,0.04700732641683684,0.08435777228106599,0.04700732605331599,4.316588336772398e-09,6,0.04700732605331599,False,True
somatic_grid_13.5_0.5/S2/CaMKII,somatic_grid_13.5_0.5,0.05999537422106466,0.05769161834932871,3.0433433672455434e-07,0.027436301871880488,0.06869205932578619,0.028421141095549933,0.039055252986961844,0.0,0,0.039055252986961844,0.028421141095549933,0.039055252986961844,0.0,0,0.039055252986961844,False,True
somatic_grid_13.5_0.5/S2/hDlx,somatic_grid_13.5_0.5,0.05999537422106466,0.05769161834932871,3.0433433672455434e-07,0.020817499833717067,0.4024475919913221,0.14916718654761713,0.10586871941219486,0.38162897001240326,12,0.10586871941219486,0.15085598064316288,0.10599298849362092,0.3816270068321479,13,0.10599298849362092,True,True
somatic_grid_13.5_0.5/S2/I_spared,somatic_grid_13.5_0.5,0.05999537422106466,0.05769161834932871,3.0433433672455434e-07,0.027436301871880488,0.06869205932578619,0.028421141095549933,0.039055252986961844,0.0,0,0.039055252986961844,0.028421141095549933,0.039055252986961844,0.0,0,0.039055252986961844,False,True
somatic_grid_13.5_0.5/S1/baseline,somatic_grid_13.5_0.5,0.04963499528645953,0.05115659198852108,3.6056227448177935e-11,0.049288038485100306,0.051640551846398264,0.049634995284876776,0.051156591987958376,0.0,0,0.051156591987958376,0.049634995284876776,0.051156591987958376,0.0,0,0.051156591987958376,False,True
somatic_grid_13.5_0.5/S1/Syn,somatic_grid_13.5_0.5,0.04963499528645953,0.05115659198852108,3.6056227448177935e-11,0.034063077877460116,0.0639981100894282,0.06279598619378333,0.03528549361729111,0.0,0,0.03528549361729111,0.06279598619378333,0.03528549361729111,0.0,0,0.03528549361729111,False,True
somatic_grid_13.5_0.5/S1/CaMKII,somatic_grid_13.5_0.5,0.04963499528645953,0.05115659198852108,3.6056227448177935e-11,0.023975574362762236,0.051640551846398264,0.024632044375683726,0.037071877854460214,0.0,0,0.037071877854460214,0.024632044375683726,0.037071877854460214,0.0,0,0.037071877854460214,False,True
somatic_grid_13.5_0.5/S1/hDlx,somatic_grid_13.5_0.5,0.04963499528645953,0.05115659198852108,3.6056227448177935e-11,0.02890284184485755,0.32769948861067477,0.13792583794434513,0.08206599586151796,0.28817333356069097,12,0.08206599586151796,0.14429563331189657,0.08383888825096868,0.2881729876469812,13,0.08383888825096868,True,True
somatic_grid_13.5_0.5/S1/I_spared,somatic_grid_13.5_0.5,0.04963499528645953,0.05115659198852108,3.6056227448177935e-11,0.023975574362762236,0.051640551846398264,0.024632044375683726,0.037071877854460214,0.0,0,0.037071877854460214,0.024632044375683726,0.037071877854460214,0.0,0,0.037071877854460214,False,True
somatic_grid_13.5_0.6/S2/baseline,somatic_grid_13.5_0.6,0.05999537422106466,0.05769161834932871,3.0433433672455434e-07,0.05001773978294354,0.06869205932578619,0.05999536094565406,0.05769161672167677,0.0,0,0.05769161672167677,0.05999536094565406,0.05769161672167677,0.0,0,0.05769161672167677,False,True
somatic_grid_13.5_0.6/S2/Syn,somatic_grid_13.5_0.6,0.05999537422106466,0.05769161834932871,3.0433433672455434e-07,0.026619692107469145,0.21024343992775157,0.09671802495072868,0.05803926911967923,0.18077926180411696,10,0.05803926911967923,0.0985989923307683,0.05984828168934831,0.1807793408099928,9,0.05984828168934831,True,True
somatic_grid_13.5_0.6/S2/CaMKII,somatic_grid_13.5_0.6,0.05999537422106466,0.05769161834932871,3.0433433672455434e-07,0.027436301871880488,0.06869205932578619,0.028421141095549933,0.039055252986961844,0.0,0,0.039055252986961844,0.028421141095549933,0.039055252986961844,0.0,0,0.039055252986961844,False,True
somatic_grid_13.5_0.6/S2/hDlx,somatic_grid_13.5_0.6,0.05999537422106466,0.05769161834932871,3.0433433672455434e-07,0.020817499833717067,0.4024475919913221,0.14916718654761713,0.10586871941219486,0.38162897001240326,12,0.10586871941219486,0.15085598064316288,0.10599298849362092,0.3816270068321479,13,0.10599298849362092,True,True
somatic_grid_13.5_0.6/S2/I_spared,somatic_grid_13.5_0.6,0.05999537422106466,0.05769161834932871,3.0433433672455434e-07,0.027436301871880488,0.06869205932578619,0.028421141095549933,0.039055252986961844,0.0,0,0.039055252986961844,0.028421141095549933,0.039055252986961844,0.0,0,0.039055252986961844,False,True
somatic_grid_13.5_0.6/S1/baseline,somatic_grid_13.5_0.6,0.04963499528645953,0.05115659198852108,3.6056227448177935e-11,0.049288038485100306,0.051640551846398264,0.049634995284876776,0.051156591987958376,0.0,0,0.051156591987958376,0.049634995284876776,0.051156591987958376,0.0,0,0.051156591987958376,False,True
somatic_grid_13.5_0.6/S1/Syn,somatic_grid_13.5_0.6,0.04963499528645953,0.05115659198852108,3.6056227448177935e-11,0.03495785106485777,0.07618769061016904,0.07397165591592682,0.036731632612658986,0.0,0,0.036731632612658986,0.07397165591592682,0.036731632612658986,0.0,0,0.036731632612658986,False,True
somatic_grid_13.5_0.6/S1/CaMKII,somatic_grid_13.5_0.6,0.04963499528645953,0.05115659198852108,3.6056227448177935e-11,0.023975574362762236,0.051640551846398264,0.024632044375683726,0.037071877854460214,0.0,0,0.037071877854460214,0.024632044375683726,0.037071877854460214,0.0,0,0.037071877854460214,False,True
somatic_grid_13.5_0.6/S1/hDlx,somatic_grid_13.5_0.6,0.04963499528645953,0.05115659198852108,3.6056227448177935e-11,0.02890284184485755,0.32769948861067477,0.13792583794434513,0.08206599586151796,0.28817333356069097,12,0.08206599586151796,0.14429563331189657,0.08383888825096868,0.2881729876469812,13,0.08383888825096868,True,True
somatic_grid_13.5_0.6/S1/I_spared,somatic_grid_13.5_0.6,0.04963499528645953,0.05115659198852108,3.6056227448177935e-11,0.023975574362762236,0.051640551846398264,0.024632044375683726,0.037071877854460214,0.0,0,0.037071877854460214,0.024632044375683726,0.037071877854460214,0.0,0,0.037071877854460214,False,True
somatic_grid_13.5_0.7/S2/baseline,somatic_grid_13.5_0.7,0.05999537422106466,0.05769161834932871,3.0433433672455434e-07,0.05001773978294354,0.06869205932578619,0.05999536094565406,0.05769161672167677,0.0,0,0.05769161672167677,0.05999536094565406,0.05769161672167677,0.0,0,0.05769161672167677,False,True
somatic_grid_13.5_0.7/S2/Syn,somatic_grid_13.5_0.7,0.05999537422106466,0.05769161834932871,3.0433433672455434e-07,0.014173080471294817,0.2920526984550835,0.10617024256023877,0.07048185541821954,0.2778795343071106,10,0.07048185541821954,0.09937261014308171,0.06719786217866598,0.2778796179837887,9,0.06719786217866598,True,True
