start_heading_deg,expected_final_deg,control_final_deg,control_error_deg,control_turn_displacement_deg,control_turn_rmse_deg,control_resultant,control_spikes_final_window,lesion_final_deg,lesion_error_vs_control_deg,lesion_resultant,lesion_spikes_final_window,activity_ratio,coherence_ratio,control_valid,recovered
0.0,90.00000762939453,91.5818565555151,1.5818489261205855,87.36873453711264,4.109846100628198,0.702232797133948,696,225.00236535485527,133.42050879934015,0.7102170456951514,695,0.9985632183908046,1.0113698029966556,True,False
10.0,100.00000762939453,101.5818567451582,1.5818491157636743,87.36873563639618,4.109845496730486,0.7022327975956897,696,205.3821504320657,103.80029368690748,0.7071282529437856,694,0.9971264367816092,1.0069712713004249,True,False
20.0,110.00000762939453,111.581856905305,1.5818492759104856,87.36873640938842,4.109844963954367,0.7022327978939019,696,204.61063878073537,93.02878187543035,0.7092947225157673,696,1.0,1.0100563867752193,True,False
30.0,120.00000762939453,121.5818570942192,1.5818494648246713,87.36873725202463,4.10984435311038,0.7022327947278201,696,205.335197791749,83.75334069752978,0.7085111713821938,694,0.9971264367816092,1.0089405916407068,True,False
40.0,130.0,131.5818573718759,1.5818573718759126,87.3687380275368,4.1098437801485375,0.7022327911638829,696,205.1447408020642,73.5628834301883,0.7063043996177063,696,1.0,1.0057980893302847,True,False
50.0,140.0,141.58185779677805,1.5818577967780527,87.3687386551,4.109843393113017,0.7022327879000733,696,205.017069656024,63.43521185924595,0.7082266566467904,696,1.0,1.0085354441575434,True,False
60.0,150.0,151.58185832956391,1.5818583295639144,87.36873903620307,4.1098431940246245,0.7022327859143812,696,211.55780409606356,59.97594576649965,0.7003669725441328,697,1.0014367816091954,0.997343027258662,True,False
70.0,160.0,161.5818588781307,1.5818588781307028,87.36873935253371,4.1098431141000455,0.7022327861065167,696,211.61439581051414,50.03253693238344,0.7016915579276144,700,1.0057471264367817,0.9992292752636869,True,False
80.0,170.0,171.58185936591332,1.581859365913317,87.3687395282195,4.109843123775661,0.7022327840745024,696,215.01713919094678,43.43527982503346,0.7074046520973933,694,0.9971264367816092,1.0073648911588586,True,False
90.0,180.0,181.5818598698526,1.5818598698525932,87.36873984773267,4.109843029199584,0.7022327801162194,696,214.6718647773471,33.09000490749452,0.7094105910936496,692,0.9942528735632183,1.0102214125866387,True,False
100.0,190.0,191.5818604219327,1.5818604219327028,87.36874020088882,4.109842927864894,0.702232779755947,696,214.76023645526976,23.17837603333706,0.7085914848585882,692,0.9942528735632183,1.0090549818891268,True,True
110.00000762939453,200.00001525878906,201.5818610621815,1.58184580339244,87.36874059937766,4.109842731046935,0.7022327828172988,696,214.714413089743,13.132552027561502,0.7090680785382777,692,0.9942528735632183,1.009733660814803,True,True
120.0,210.0,211.58186159361188,1.581861593611876,87.36874101792873,4.109842393775616,0.7022327852334469,696,222.34224387667882,10.760382283066946,0.7026666395736181,697,1.0014367816091954,1.0006178212542824,True,True
130.0,220.0,221.58186199665093,1.5818619966509289,87.36874102884929,4.10984219558536,0.7022327896103595,696,224.9617411167603,3.379879120109365,0.7076059108140355,694,0.9971264367816092,1.0076514815075173,True,True
140.0,230.0,231.58186226696998,1.5818622669699778,87.3687410620237,4.109842084916362,0.7022327936486616,696,224.8124306646162,6.769431602353791,0.7103138419026978,692,0.9942528735632183,1.0115076486417682,True,True
149.99998474121094,240.0,241.58186246726416,1.581862467264159,87.36874102213906,4.109842073714364,0.7022327956907621,696,225.12557797842854,16.45628448883562,0.7067114778000259,696,1.0,1.0063777740611761,True,True
160.0,250.0,251.58186266539946,1.5818626653994556,87.368740785185,4.109842114595478,0.7022327977127886,696,224.92947249485496,26.652390170544493,0.7087965518303152,692,0.9942528735632183,1.0093469774395403,True,True
170.0,260.0,261.58186288203854,1.5818628820385356,87.36874012328167,4.109842324013163,0.7022328008188068,696,225.27743704991227,36.30442583212627,0.7086498175631708,695,0.9985632183908046,1.0091380190969172,True,False
180.0,270.0,271.5818629753797,1.5818629753796927,87.36873979589285,4.109842281910169,0.7022328045843166,696,224.84129550466432,46.740567470715376,0.7076935312335428,695,0.9985632183908046,1.0077762340545438,True,False
