run,current_uA_cm2,fraction,group,seeds,rate_hz_mean,rate_hz_seed_sd,block_mean,block_seed_sd,late_voltage_mV_mean,late_voltage_mV_seed_sd,h_available_mean,h_available_seed_sd,synaptic_inward_uA_cm2_mean,synaptic_inward_uA_cm2_seed_sd,cv_normalized_mean,cv_normalized_seed_sd,cs_normalized_mean,cs_normalized_seed_sd,optical_alpha_half_mean,optical_alpha_half_seed_sd
block_dt_half,120,0,all,1,62.349998474121094,0.0,0.0,0.0,-42.12202072143555,0.0,0.07212994992733002,0.0,3.118588924407959,0.0,1.0,0.0,1.0,0.0,1.0,0.0
block_dt_half,120,0,control,1,62.349998474121094,0.0,0.0,0.0,-42.12202072143555,0.0,0.07212994992733002,0.0,3.118588924407959,0.0,1.0,0.0,1.0,0.0,1.0,0.0
block_dt_half,120,0.1,all,1,55.75,0.0,0.1,0.0,-41.56867218017578,0.0,0.06886124610900879,0.0,2.781315803527832,0.0,1.0272964721856555,0.0,0.8918507283084269,0.0,0.9595736002470412,0.0
block_dt_half,120,0.1,KD,1,3.0,0.0,1.0,0.0,-36.25751876831055,0.0,0.0344463475048542,0.0,2.8682971000671387,0.0,1.2737618732217977,0.0,0.919741963302093,0.0,1.0967519182619454,0.0
block_dt_half,120,0.1,control,1,61.61111068725586,0.0,0.0,0.0,-42.15879821777344,0.0,0.0726851150393486,0.0,2.771651268005371,0.0,0.9999114521613677,0.0,0.8887517191870835,0.0,0.9443315856742256,0.0
block_dt_half,120,0.2,all,1,48.70000076293945,0.0,0.2,0.0,-40.997291564941406,0.0,0.06549837440252304,0.0,2.3754684925079346,0.0,1.0566599070733493,0.0,0.7617126046706844,0.0,0.9091862558720168,0.0
block_dt_half,120,0.2,KD,1,3.25,0.0,1.0,0.0,-36.29857635498047,0.0,0.03456170856952667,0.0,2.3928308486938477,0.0,1.2665123225579151,0.0,0.7672799803674377,0.0,1.0168961514626764,0.0
block_dt_half,120,0.2,control,1,60.0625,0.0,0.0,0.0,-42.17197036743164,0.0,0.07323253899812698,0.0,2.3711276054382324,0.0,1.0041966375890432,0.0,0.7603206651830117,0.0,0.8822586513860274,0.0
block_dt_half,120,0.3,all,1,44.5,0.0,0.275,0.0,-40.446659088134766,0.0,0.06156351417303085,0.0,2.296452045440674,0.0,1.0912543993757047,0.0,0.7363753611344074,0.0,0.9138148802550561,0.0
block_dt_half,120,0.3,KD,1,1.8333333730697632,0.0,0.9166666666666666,0.0,-36.3571891784668,0.0,0.035255368798971176,0.0,2.2755680084228516,0.0,1.2797269281816304,0.0,0.7296787308557672,0.0,1.0047028295186988,0.0
block_dt_half,120,0.3,control,1,62.78571319580078,0.0,0.0,0.0,-42.19929122924805,0.0,0.0728384330868721,0.0,2.3054025173187256,0.0,1.0104805530949732,0.0,0.7392454001472443,0.0,0.8748629766211087,0.0
block_dt_half,120,0.4,all,1,41.900001525878906,0.0,0.375,0.0,-39.894561767578125,0.0,0.05834323167800903,0.0,2.1226437091827393,0.0,1.1198525910345203,0.0,0.6806423548065756,0.0,0.900247472920548,0.0
block_dt_half,120,0.4,KD,1,3.0,0.0,0.9375,0.0,-36.276729583740234,0.0,0.034836895763874054,0.0,2.066537618637085,0.0,1.2874977186786587,0.0,0.6626514967917427,0.0,0.9750746077352007,0.0
block_dt_half,120,0.4,control,1,67.83333587646484,0.0,0.0,0.0,-42.30644607543945,0.0,0.07401411980390549,0.0,2.160047769546509,0.0,1.0080892094080203,0.0,0.6926362601497976,0.0,0.8503627347789089,0.0
