cycle,time_s,direction_offset_deg,grid_38cm_length_cm,grid_55cm_length_cm,grid_78cm_length_cm,grid_38cm_offset_deg,grid_55cm_offset_deg,grid_78cm_offset_deg,grid_38cm_alignment_cosine,grid_55cm_alignment_cosine,grid_78cm_alignment_cosine
10,1.052,-1.314341946443722,4.917020868833717,7.275236865001494,10.471235007773478,-1.505572923759944,-1.4390995187734112,-1.397428576661061,0.9999944301842937,0.9999976293993547,0.9999989485540457
11,1.1520000000000001,2.203104197214058,5.007745358161485,7.4041805413906765,10.652095133383982,-0.20494190250993347,-0.16769238782807874,-0.14413298998731272,0.999116939610017,0.9991440441594776,0.9991609691042161
12,1.252,-8.521554036824886,4.876436422485717,7.217180326223069,10.389670060279627,-4.504367155565332,-4.3771244035489465,-4.299616659988736,0.9975430806928057,0.9973850408294052,0.9972863627226455
13,1.352,16.303487378996596,4.886127005667223,7.230949424696434,10.408711229935328,6.094918206318493,6.01945335874069,5.979098934621309,0.9841691121190745,0.983934824564407,0.9838088400929127
14,1.452,-24.617681995261776,4.528351593941563,6.720854362187089,9.692621719629411,-16.785912926939837,-16.337070131608044,-16.069011395217274,0.9906724373057292,0.9895745806499896,0.9888899480365367
15,1.552,25.185509771910787,4.684970429478301,6.941673460372123,10.000917352531935,16.191946108685368,15.891733064406736,15.72244235393738,0.9877059074708066,0.9868732634987348,0.9863917855151144
16,1.6520000000000001,-24.216876249481675,4.508102009774277,6.695093761731889,9.661400588489656,-17.86537216930417,-17.375628905055294,-17.077632269859738,0.9938619119800758,0.9928800115575366,0.9922470459395426
17,1.752,24.102120533688996,4.695295722843278,6.956937230278768,10.025816311455955,15.53000854398771,15.232718505016475,15.060808922909624,0.988829048393684,0.988042345699859,0.9875752909222146
18,1.852,-24.28553672611323,4.50788627814634,6.693120510553186,9.659257462841852,-17.789788492406235,-17.30637047697714,-17.006826876458813,0.9935802534481196,0.9925903998560904,0.9919415891881199
19,1.952,24.32281248350857,4.692790019187287,6.9518943106460895,10.017329492319682,15.636615272880551,15.335273398907397,15.157886325032436,0.9885302974796788,0.9877223392298234,0.9872339520219562
20,2.052,-24.283209339153547,4.507746589673478,6.692447228197408,9.656953772646034,-17.807584005222097,-17.325190582120626,-17.02785018206985,0.9936199244713367,0.992635180199536,0.9919931413277816
21,2.152,24.272629376129196,4.693348526213847,6.9526827706803545,10.017744507115026,15.61299157796152,15.312226005006472,15.13453927534916,0.9886001977139263,0.9877962152592351,0.9873084454471989
22,2.2520000000000002,-24.280941716349105,4.507829324013102,6.69256470968809,9.656865243605086,-17.802514617782574,-17.320225000301843,-17.02355895629978,0.993614408313931,0.9926294747292133,0.9919886802693457
23,2.352,24.283827471273433,4.69319161308388,6.952485669687738,10.017364349441685,15.618304066883564,15.317169877501293,15.139421684011864,0.9885847260364415,0.9877792080049367,0.9872909334065015
24,2.452,-24.282109678697175,4.507798439010943,6.6925126603978065,9.656739159956315,-17.80396214634807,-17.32161741776678,-17.024964986556505,0.9936149588349202,0.9926299494764057,0.9919892051572982
25,2.552,24.28135494279389,4.693236374860241,6.952533306424862,10.017447721429326,15.617204842718794,15.316112422133697,15.138424439430016,0.9885883370175754,0.9877830570766637,0.9872950251253704
26,2.652,-24.281730603198238,4.507816460089838,6.692540159302473,9.656765600274015,-17.803584007140625,-17.3212767351511,-17.02470055201952,0.993614960678623,0.9926300306800394,0.9919894579095726
27,2.7520000000000002,24.281877452265395,4.693222968784212,6.952517929858987,10.01738177821941,15.617390417403481,15.316301559521252,15.138597355528859,0.9885874511302011,0.9877821503416827,0.987294055582831
28,2.852,-24.281829640941204,4.507803527904652,6.692528900917954,9.656778096001807,-17.803734036571566,-17.321328406215976,-17.02472821642552,0.9936150610887425,0.9926299304961377,0.9919893005511603
