gain,median_avalanche_size,q25_avalanche_size,q75_avalanche_size,median_duration_ms,size_cv_stable,unstable_fraction,median_late_rate_hz
2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2.0999999046325684,1.0,1.0,1.0,1.0,0.0,0.0,0.0
2.200000047683716,1.0,1.0,206.25,1.0,1.9903030303030302,0.0,0.0
2.299999952316284,3.5,2.5,164.5,14.0,1.967395012963806,0.0,0.0
2.4000000953674316,4.0,3.75,383.0,12.0,1.980840792211648,0.0,0.0
2.5,3.5,3.0,791.5,10.0,0.17320508075688776,0.25,0.0
2.5999999046325684,4458.0,3077.25,4873.0,300.0,0.0,0.75,383.49999999999994
2.700000047683716,4769.5,4288.75,5225.75,300.0,0.0,1.0,399.74999999999994
2.799999952316284,4947.0,4557.0,5330.75,300.0,0.0,1.0,414.5
