label,family,baseline_E,baseline_I,baseline_ptp,min_activity,max_activity,E_mean_0,I_mean_0,E_ptp_0,crossings_0,I_output_mean_0,E_mean_1,I_mean_1,E_ptp_1,crossings_1,I_output_mean_1,persistent_oscillation,valid_baseline
somatic_circuit/S2/baseline,somatic_circuit,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.05001793059774555,0.07962464659693738,0.06466445263642731,0.06077193168268301,0.0,0,0.06077193168268301,0.06466445263642731,0.06077193168268301,0.0,0,0.06077193168268301,False,True
somatic_circuit/S2/Syn,somatic_circuit,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.00820298557723859,0.30467843694915664,0.1026795734291874,0.07652688663285113,0.2964708893283538,9,0.07652688663285113,0.09640335656736537,0.07358412867456864,0.2964753229384356,9,0.07358412867456864,True,True
somatic_circuit/S2/CaMKII,somatic_circuit,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.02887368801761788,0.07962464659693738,0.030029706001992715,0.03991336560758453,0.0,0,0.03991336560758453,0.030029706001992715,0.03991336560758453,0.0,0,0.03991336560758453,False,True
somatic_circuit/S2/hDlx,somatic_circuit,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.018063531261421188,0.4174309150026483,0.15542567452140058,0.11423832739697597,0.39936473824147456,12,0.11423832739697597,0.1554174971961216,0.11423392287967851,0.3993654980594465,12,0.11423392287967851,True,True
somatic_circuit/S2/I_spared,somatic_circuit,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.02887368801761788,0.07962464659693738,0.030029706001992715,0.03991336560758453,0.0,0,0.03991336560758453,0.030029706001992715,0.03991336560758453,0.0,0,0.03991336560758453,False,True
somatic_circuit/S1/baseline,somatic_circuit,0.04963499528645953,0.05115659198852108,3.6056227448177935e-11,0.049288038485100306,0.051640551846398264,0.049634995284876776,0.051156591987958376,0.0,0,0.051156591987958376,0.049634995284876776,0.051156591987958376,0.0,0,0.051156591987958376,False,True
somatic_circuit/S1/Syn,somatic_circuit,0.04963499528645953,0.05115659198852108,3.6056227448177935e-11,0.03495785106485777,0.07618769061016904,0.07397165591592682,0.036731632612658986,0.0,0,0.036731632612658986,0.07397165591592682,0.036731632612658986,0.0,0,0.036731632612658986,False,True
somatic_circuit/S1/CaMKII,somatic_circuit,0.04963499528645953,0.05115659198852108,3.6056227448177935e-11,0.023975574362762236,0.051640551846398264,0.024632044375683726,0.037071877854460214,0.0,0,0.037071877854460214,0.024632044375683726,0.037071877854460214,0.0,0,0.037071877854460214,False,True
somatic_circuit/S1/hDlx,somatic_circuit,0.04963499528645953,0.05115659198852108,3.6056227448177935e-11,0.02890284184485755,0.32769948861067477,0.13792583794434513,0.08206599586151796,0.28817333356069097,12,0.08206599586151796,0.14429563331189657,0.08383888825096868,0.2881729876469812,13,0.08383888825096868,True,True
somatic_circuit/S1/I_spared,somatic_circuit,0.04963499528645953,0.05115659198852108,3.6056227448177935e-11,0.023975574362762236,0.051640551846398264,0.024632044375683726,0.037071877854460214,0.0,0,0.037071877854460214,0.024632044375683726,0.037071877854460214,0.0,0,0.037071877854460214,False,True
somatic_targeting/S2/baseline,somatic_targeting,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.05001793059774555,0.07962464659693738,0.06466445263642731,0.06077193168268301,0.0,0,0.06077193168268301,0.06466445263642731,0.06077193168268301,0.0,0,0.06077193168268301,False,True
somatic_targeting/S2/Syn,somatic_targeting,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.00820298557723859,0.30467843694915664,0.1026795734291874,0.07652688663285113,0.2964708893283538,9,0.07652688663285113,0.09640335656736537,0.07358412867456864,0.2964753229384356,9,0.07358412867456864,True,True
somatic_targeting/S2/CaMKII,somatic_targeting,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.02887368801761788,0.07962464659693738,0.030029706001992715,0.03991336560758453,0.0,0,0.03991336560758453,0.030029706001992715,0.03991336560758453,0.0,0,0.03991336560758453,False,True
somatic_targeting/S2/hDlx,somatic_targeting,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.018063531261421188,0.4174309150026483,0.15542567452140058,0.11423832739697597,0.39936473824147456,12,0.11423832739697597,0.1554174971961216,0.11423392287967851,0.3993654980594465,12,0.11423392287967851,True,True
somatic_targeting/S2/I_spared,somatic_targeting,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.02887368801761788,0.07962464659693738,0.030029706001992715,0.03991336560758453,0.0,0,0.03991336560758453,0.030029706001992715,0.03991336560758453,0.0,0,0.03991336560758453,False,True
somatic_targeting/S1/baseline,somatic_targeting,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.05001793059774555,0.07962464659693738,0.06466445263642731,0.06077193168268301,0.0,0,0.06077193168268301,0.06466445263642731,0.06077193168268301,0.0,0,0.06077193168268301,False,True
somatic_targeting/S1/Syn,somatic_targeting,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.040117813862771544,0.07962464659693738,0.04864048236002284,0.040963372319465466,0.0,0,0.040963372319465466,0.04864048236002284,0.040963372319465466,0.0,0,0.040963372319465466,False,True
somatic_targeting/S1/CaMKII,somatic_targeting,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.02887368801761788,0.07962464659693738,0.030029706001992715,0.03991336560758453,0.0,0,0.03991336560758453,0.030029706001992715,0.03991336560758453,0.0,0,0.03991336560758453,False,True
somatic_targeting/S1/hDlx,somatic_targeting,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.018063531261421188,0.4174309150026483,0.15542567452140058,0.11423832739697597,0.39936473824147456,12,0.11423832739697597,0.1554174971961216,0.11423392287967851,0.3993654980594465,12,0.11423392287967851,True,True
somatic_targeting/S1/I_spared,somatic_targeting,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.02887368801761788,0.07962464659693738,0.030029706001992715,0.03991336560758453,0.0,0,0.03991336560758453,0.030029706001992715,0.03991336560758453,0.0,0,0.03991336560758453,False,True
release_circuit/S2/baseline,release_circuit,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.05001793059774555,0.07962464659693738,0.06466445263642731,0.06077193168268301,0.0,0,0.06077193168268301,0.06466445263642731,0.06077193168268301,0.0,0,0.06077193168268301,False,True
release_circuit/S2/Syn,release_circuit,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.042689277376939706,0.42583410904841346,0.20730605751949918,0.21258597341164126,0.38314295973183077,9,0.10629298670582063,0.20398888381450347,0.20737850982761394,0.3831433038294003,9,0.10368925491380697,True,True
release_circuit/S2/CaMKII,release_circuit,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.05001793059774555,0.07962464659693738,0.06053020715141665,0.05415947403115098,0.0,0,0.05415947403115098,0.06053020715141665,0.05415947403115098,0.0,0,0.05415947403115098,False,True
release_circuit/S2/hDlx,release_circuit,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.049043044393337426,0.45702863378641145,0.2620665087197741,0.28541469180552487,0.40798436164578744,7,0.14270734590276243,0.26236640277195317,0.28608308743555777,0.40798296643931536,7,0.14304154371777889,True,True
release_circuit/S2/I_spared,release_circuit,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.05001793059774555,0.07962464659693738,0.06053020715141665,0.05415947403115098,0.0,0,0.05415947403115098,0.06053020715141665,0.05415947403115098,0.0,0,0.05415947403115098,False,True
release_circuit/S1/baseline,release_circuit,0.04963499528645953,0.05115659198852108,3.6056227448177935e-11,0.049288038485100306,0.051640551846398264,0.049634995284876776,0.051156591987958376,0.0,0,0.051156591987958376,0.049634995284876776,0.051156591987958376,0.0,0,0.051156591987958376,False,True
release_circuit/S1/Syn,release_circuit,0.04963499528645953,0.05115659198852108,3.6056227448177935e-11,0.049288038485100306,0.15020943710074394,0.1298904695883891,0.11339313613206303,5.695896143631529e-09,5,0.056696568066031516,0.12989046962826817,0.11339313612669767,2.548172783889413e-11,4,0.056696568063348836,False,True
release_circuit/S1/CaMKII,release_circuit,0.04963499528645953,0.05115659198852108,3.6056227448177935e-11,0.047201711120442434,0.051640551846398264,0.04799307954487915,0.04730150078863385,0.0,0,0.04730150078863385,0.04799307954487915,0.04730150078863385,0.0,0,0.04730150078863385,False,True
release_circuit/S1/hDlx,release_circuit,0.04963499528645953,0.05115659198852108,3.6056227448177935e-11,0.04560931166813532,0.28799448679692186,0.13577237317519952,0.15353097486646813,0.24238421194655896,10,0.07676548743323407,0.14050046511156802,0.15756870859927694,0.2423829874778305,9,0.07878435429963847,True,True
release_circuit/S1/I_spared,release_circuit,0.04963499528645953,0.05115659198852108,3.6056227448177935e-11,0.047201711120442434,0.051640551846398264,0.04799307954487915,0.04730150078863385,0.0,0,0.04730150078863385,0.04799307954487915,0.04730150078863385,0.0,0,0.04730150078863385,False,True
remote/baseline,remote,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.05001793059774555,0.07962464659693738,0.06466445263642731,0.06077193168268301,0.0,0,0.06077193168268301,0.06466445263642731,0.06077193168268301,0.0,0,0.06077193168268301,False,True
remote/Syn_S2,remote,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.010259683638459334,0.37654031839583113,0.12260730648045323,0.10427556593255662,0.3662767040353079,11,0.10427556593255662,0.13034421753871328,0.10850366628324255,0.3662746703106733,12,0.10850366628324255,True,True
remote/CaMKII_S2,remote,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.010259683638459334,0.37654031839583113,0.12260730648045323,0.10427556593255662,0.3662767040353079,11,0.10427556593255662,0.13034421753871328,0.10850366628324255,0.3662746703106733,12,0.10850366628324255,True,True
remote/Syn_S1,remote,0.06466481848207054,0.06077197099653114,9.929502586020211e-06,0.03720506539019165,0.17696053890817756,0.09442463125723924,0.0753346800843893,0.13975464389090222,11,0.0753346800843893,0.09085262758427294,0.07412363242156403,0.1397554735179859,11,0.07412363242156403,True,True
