repeat,repeat_seed,expected_state,g,eta,runtime_seconds,exc_firing_rate_hz,inh_firing_rate_hz,overall_firing_rate_hz,exc_isi_cv_mean,exc_isi_cv_median,exc_isi_cv_eligible_neurons,inh_isi_cv_mean,inh_isi_cv_median,inh_isi_cv_eligible_neurons,isi_cv_all_mean,population_rate_cv_1ms,dominant_frequency_hz,spectral_peak_to_background,classified_state
0,1729,synchronous_regular,3.0,2.0,8.598738053000488,99.375,100.0,99.5,0.08833159506320953,0.08689539134502411,80,0.08718092739582062,0.08215777575969696,20,0.08810146152973175,0.3856272370442145,100.0,24.82725527728443,synchronous_regular
0,1729,fast_synchronous_irregular,6.0,4.0,0.2849413000003551,189.375,191.25,189.75,0.06522244960069656,0.06599337607622147,80,0.062578484416008,0.06214592605829239,20,0.06469365209341049,0.6148740503398955,187.5,597.6039677961658,synchronous_regular
0,1729,asynchronous_irregular,5.0,2.0,0.2740151479993074,98.125,96.875,97.875,0.09256573021411896,0.09096066653728485,80,0.09390877932310104,0.08511295169591904,20,0.09283436089754105,0.35048339343873786,100.0,27.96798774097433,synchronous_regular
0,1729,slow_synchronous_irregular,4.5,0.9,0.25866707599925576,2.34375,3.75,2.625,nan,nan,0,nan,nan,0,nan,1.8801987640380604,100.0,6.421021997077873,inconclusive
