cycle,direction_offset_deg,grid_38cm_length_cm,grid_55cm_length_cm,grid_78cm_length_cm,grid_38cm_offset_deg,grid_55cm_offset_deg,grid_78cm_offset_deg,grid_38cm_alignment_cosine,grid_55cm_alignment_cosine,grid_78cm_alignment_cosine
10,-1.322089622118338,4.916997173870394,7.275203712960532,10.471186179587088,-1.5086539606060736,-1.4421199220378809,-1.4004186977366428,0.9999946987092854,0.9999978056476543,0.999999065518572
11,2.216239504761639,5.007729723868672,7.4041603186972536,10.65206377564234,-0.20101821805371148,-0.16384195704739088,-0.14031895915036594,0.9991101716589439,0.9991373275462183,0.9991542929460514
12,-8.567476813709467,4.87596156966698,7.216504176027508,10.388721601011763,-4.525825870359278,-4.3981256120351295,-4.320348819607271,0.9975130774862269,0.9973535112911002,0.9972538986057778
13,16.386199262298163,4.884750797660544,7.228977704119789,10.40593385198675,6.1528613828782355,6.076278553147254,6.035270483946457,0.9840924035959033,0.983854063753284,0.9837257164763882
14,-24.634079571911684,4.527758391150852,6.720016220226319,9.691450573448924,-16.809976875233914,-16.360419641575177,-16.09192846991765,0.9906906611475805,0.9895920480703285,0.9889068559705363
15,25.17424337487485,4.685105108099276,6.941877142992977,10.001225010156858,16.18693050203368,15.886781693765629,15.717501919733268,0.9877229559991966,0.9868910573405657,0.9864099320274627
16,-24.21430809835375,4.508149365125137,6.695161025349915,9.661508976326436,-17.86317720659933,-17.373524902895475,-17.075510691853573,0.9938626325181233,0.9928809764975464,0.9922480145778405
17,24.103858816832766,4.695274914332086,6.95690007422359,10.025763952841364,15.530606297598254,15.233271085166182,15.06132429859223,0.9888260811282982,0.9880391547653388,0.9875719365983133
18,-24.28621974503023,4.507874585787865,6.693099771213464,9.659221180170796,-17.790225116480563,-17.30680663125281,-17.007263693997107,0.9935797669367598,0.9925898763155667,0.9919410447630006
19,24.32244365329339,4.6927947181409495,6.951900868826054,10.017334955122122,15.636493666576106,15.335145305423104,15.157758878570148,0.9885309491139095,0.9877229956011969,0.9872346230373258
20,-24.283038584424297,4.507750858013173,6.692452326890697,9.656958591642223,-17.807483224058487,-17.32509051733288,-17.02774864589645,0.993620062205961,0.9926353296604913,0.99199329389908
